produto,produto_cod,nivel_territorial,cod_territorial,nome_territorial,ano,area_colhida_ha,qtd_produzida,unidade_qtd,rendimento_medio_kg_ha,valor_producao_mil_reais,fonte,tabela_sidra,url_origem,coletado_em,status_dado,produto_nome_ibge,processado_em,versao_etl
Azeitona,40131,Brasil,1,Brasil,2023,6862.0,31489.0,MIL REAIS,1780.0,3856.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40124,40125,40126,40127,40128,40131,40132,40133",2026-03-23 00:01:56,completo,Azeitona,2026-03-23 16:41:09.244299,1.0
Azeitona,40131,Brasil,1,Brasil,2024,4499.0,23978.0,MIL REAIS,1055.0,4266.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40124,40125,40126,40127,40128,40131,40132,40133",2026-03-23 00:01:56,completo,Azeitona,2026-03-23 16:41:09.244299,1.0
Cacau,40138,Brasil,1,Brasil,2023,296114.0,4633462.0,MIL REAIS,483.0,612692.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40135,40138,40141,40147,40148,40149,40150,40199",2026-03-23 00:01:58,completo,Cacau (em amêndoa),2026-03-23 16:41:09.244299,1.0
Cacau,40138,Brasil,1,Brasil,2024,297509.0,15264498.0,MIL REAIS,482.0,617168.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40135,40138,40141,40147,40148,40149,40150,40199",2026-03-23 00:01:58,completo,Cacau (em amêndoa),2026-03-23 16:41:09.244299,1.0
Café (Em Grão) Canephora,40141,Brasil,1,Brasil,2023,983899.0,10657060.0,MIL REAIS,2516.0,391006.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40135,40138,40141,40147,40148,40149,40150,40199",2026-03-23 00:01:58,completo,Café (em grão) Canephora,2026-03-23 16:41:09.244299,1.0
Café (Em Grão) Canephora,40141,Brasil,1,Brasil,2024,993992.0,18209944.0,MIL REAIS,2486.0,399820.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40135,40138,40141,40147,40148,40149,40150,40199",2026-03-23 00:01:58,completo,Café (em grão) Canephora,2026-03-23 16:41:09.244299,1.0
Erva-Mate (Folha Verde),40147,Brasil,1,Brasil,2023,736193.0,956804.0,MIL REAIS,8967.0,82100.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40135,40138,40141,40147,40148,40149,40150,40199",2026-03-23 00:01:58,completo,Erva-mate (folha verde),2026-03-23 16:41:09.244299,1.0
Erva-Mate (Folha Verde),40147,Brasil,1,Brasil,2024,841255.0,1012330.0,MIL REAIS,9325.0,90216.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40135,40138,40141,40147,40148,40149,40150,40199",2026-03-23 00:01:58,completo,Erva-mate (folha verde),2026-03-23 16:41:09.244299,1.0
Figo,40148,Brasil,1,Brasil,2023,20881.0,128050.0,MIL REAIS,10409.0,2006.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40135,40138,40141,40147,40148,40149,40150,40199",2026-03-23 00:01:58,completo,Figo,2026-03-23 16:41:09.244299,1.0
Figo,40148,Brasil,1,Brasil,2024,20586.0,158458.0,MIL REAIS,10552.0,1951.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40135,40138,40141,40147,40148,40149,40150,40199",2026-03-23 00:01:58,completo,Figo,2026-03-23 16:41:09.244299,1.0
Goiaba,40149,Brasil,1,Brasil,2023,586003.0,1313952.0,MIL REAIS,25892.0,22633.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40135,40138,40141,40147,40148,40149,40150,40199",2026-03-23 00:01:58,completo,Goiaba,2026-03-23 16:41:09.244299,1.0
Goiaba,40149,Brasil,1,Brasil,2024,557225.0,1385628.0,MIL REAIS,24241.0,22987.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40135,40138,40141,40147,40148,40149,40150,40199",2026-03-23 00:01:58,completo,Goiaba,2026-03-23 16:41:09.244299,1.0
Guaraná (Semente),40150,Brasil,1,Brasil,2023,2523.0,55238.0,MIL REAIS,261.0,9663.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40135,40138,40141,40147,40148,40149,40150,40199",2026-03-23 00:01:58,completo,Guaraná (semente),2026-03-23 16:41:09.244299,1.0
Guaraná (Semente),40150,Brasil,1,Brasil,2024,2663.0,68031.0,MIL REAIS,277.0,9609.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40135,40138,40141,40147,40148,40149,40150,40199",2026-03-23 00:01:58,completo,Guaraná (semente),2026-03-23 16:41:09.244299,1.0
Soja,40124,Brasil,1,Brasil,2023,152144238.0,348683454.0,MIL REAIS,3425.0,44417552.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40124,40125,40126,40127,40128,40131,40132,40133",2026-03-23 00:01:56,completo,Soja (em grão),2026-03-23 16:41:09.244299,1.0
Soja,40124,Brasil,1,Brasil,2024,144473768.0,260233510.0,MIL REAIS,3147.0,45906902.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40124,40125,40126,40127,40128,40131,40132,40133",2026-03-23 00:01:56,completo,Soja (em grão),2026-03-23 16:41:09.244299,1.0
Sorgo,40125,Brasil,1,Brasil,2023,4498299.0,2709971.0,MIL REAIS,3346.0,1344408.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40124,40125,40126,40127,40128,40131,40132,40133",2026-03-23 00:01:56,completo,Sorgo (em grão),2026-03-23 16:41:09.244299,1.0
Sorgo,40125,Brasil,1,Brasil,2024,4090428.0,2706132.0,MIL REAIS,3000.0,1363415.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40124,40125,40126,40127,40128,40131,40132,40133",2026-03-23 00:01:56,completo,Sorgo (em grão),2026-03-23 16:41:09.244299,1.0
Tomate,40126,Brasil,1,Brasil,2023,4166017.0,10592486.0,MIL REAIS,70598.0,59010.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40124,40125,40126,40127,40128,40131,40132,40133",2026-03-23 00:01:56,completo,Tomate,2026-03-23 16:41:09.244299,1.0
Tomate,40126,Brasil,1,Brasil,2024,4407502.0,9918958.0,MIL REAIS,72760.0,60576.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40124,40125,40126,40127,40128,40131,40132,40133",2026-03-23 00:01:56,completo,Tomate,2026-03-23 16:41:09.244299,1.0
Trigo,40127,Brasil,1,Brasil,2023,7730188.0,7662690.0,MIL REAIS,2321.0,3330303.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40124,40125,40126,40127,40128,40131,40132,40133",2026-03-23 00:01:56,completo,Trigo (em grão),2026-03-23 16:41:09.244299,1.0
Trigo,40127,Brasil,1,Brasil,2024,7520178.0,8770270.0,MIL REAIS,2579.0,2916018.0,IBGE/PAM-SIDRA,5457,"https://apisidra.ibge.gov.br/values/t/5457/n1/all/v/214,215,112,216/p/2023,2024/c782/40124,40125,40126,40127,40128,40131,40132,40133",2026-03-23 00:01:56,completo,Trigo (em grão),2026-03-23 16:41:09.244299,1.0
